Country Name,Country Code,Region,Year,Fertility Rate
Maldives,MDV,Asia,1960,7.021
Mexico,MEX,The Americas,1960,6.768
"Macedonia, FYR",MKD,Europe,1960,3.842
Mali,MLI,Africa,1960,6.967
Malta,MLT,Europe,1960,3.62
Myanmar,MMR,Asia,1960,6.051
Montenegro,MNE,Europe,1960,3.521
Mongolia,MNG,Asia,1960,6.953
Mozambique,MOZ,Africa,1960,6.6
Mauritania,MRT,Africa,1960,6.775
Mauritius,MUS,Africa,1960,6.167
Malawi,MWI,Africa,1960,6.94
Malaysia,MYS,Asia,1960,6.194
Namibia,NAM,Africa,1960,6.15
New Caledonia,NCL,Oceania,1960,6.278
Niger,NER,Africa,1960,7.407
Nigeria,NGA,Africa,1960,6.354
Nicaragua,NIC,The Americas,1960,7.336
Netherlands,NLD,Europe,1960,3.12
Norway,NOR,Europe,1960,2.85
Nepal,NPL,Asia,1960,5.959
New Zealand,NZL,Oceania,1960,4.129
Oman,OMN,Middle East,1960,7.247
Pakistan,PAK,Asia,1960,6.6
Panama,PAN,The Americas,1960,5.87
Peru,PER,The Americas,1960,6.971
Philippines,PHL,Asia,1960,7.148
Papua New Guinea,PNG,Oceania,1960,6.275
Poland,POL,Europe,1960,2.98
Puerto Rico,PRI,The Americas,1960,4.657
Portugal,PRT,Europe,1960,3.16
Paraguay,PRY,The Americas,1960,6.5
French Polynesia,PYF,Oceania,1960,5.658
Qatar,QAT,Middle East,1960,6.971
Romania,ROU,Europe,1960,2.34
Russian Federation,RUS,Europe,1960,2.52
Rwanda,RWA,Africa,1960,8.187
Saudi Arabia,SAU,Middle East,1960,7.216
Sudan,SDN,Africa,1960,6.691
Senegal,SEN,Africa,1960,6.951
Singapore,SGP,Asia,1960,5.454
Solomon Islands,SLB,Oceania,1960,6.388
Sierra Leone,SLE,Africa,1960,5.97
El Salvador,SLV,The Americas,1960,6.674
Somalia,SOM,Africa,1960,7.25
South Sudan,SSD,Africa,1960,6.721
Sao Tome and Principe,STP,Africa,1960,6.242
Suriname,SUR,The Americas,1960,6.608
Slovak Republic,SVK,Europe,1960,3.04
Slovenia,SVN,Europe,1960,2.324
Sweden,SWE,Europe,1960,2.17
Swaziland,SWZ,Africa,1960,6.717
Syrian Arab Republic,SYR,Middle East,1960,7.467
Chad,TCD,Africa,1960,6.25
Togo,TGO,Africa,1960,6.521
Thailand,THA,Asia,1960,6.147
Tajikistan,TJK,Asia,1960,6.235
Turkmenistan,TKM,Asia,1960,6.415
Timor-Leste,TLS,Asia,1960,6.373
Tonga,TON,Oceania,1960,7.363
Trinidad and Tobago,TTO,The Americas,1960,5.264
Tunisia,TUN,Africa,1960,7.043
Turkey,TUR,Europe,1960,6.303
Tanzania,TZA,Africa,1960,6.806
Uganda,UGA,Africa,1960,6.999
Ukraine,UKR,Europe,1960,2.24
Uruguay,URY,The Americas,1960,2.88
United States,USA,The Americas,1960,3.654
Uzbekistan,UZB,Asia,1960,6.707
St. Vincent and the Grenadines,VCT,The Americas,1960,7.224
"Venezuela, RB",VEN,The Americas,1960,6.616
Virgin Islands (U.S.),VIR,The Americas,1960,5.615
Vietnam,VNM,Asia,1960,6.348
Vanuatu,VUT,Oceania,1960,7.197
Samoa,WSM,Oceania,1960,7.651
"Yemen, Rep.",YEM,Middle East,1960,7.38
South Africa,ZAF,Africa,1960,6.173
"Congo, Dem. Rep.",COD,Africa,1960,6.001
Zambia,ZMB,Africa,1960,7.018
Zimbabwe,ZWE,Africa,1960,7.158
